iter	Logloss
0	0.6674018171
1	0.644494744722	0.622797436633	0.604206289744	0.587361863155	0.572790653866	0.560432546
7	0.5494653618
8	0.5394047894
9	0.5306219649
10	0.5228296696111	0.5155863581212	0.5089317351313	0.49999109214	0.5000449567
15	0.4955266678
1616	0.486259697117	0.4820905101818	0.47867589519	0.4803329521
2020	0.4722566422121	0.46960226
22	0.4689371872
23	0.4666470475
24	0.4628732063
25	0.461103886
26	0.4593398562
227	0.458410618728	0.4537102673
229	0.4552126437330	0.4535128962331	0.452263814732	0.4482815214
33	0.4473780035
334	0.4468823698335	0.4459757393336	0.4449344002337	0.4441913784338	0.4432606781339	0.4425898944440	0.4418384694441	0.4408405843442	0.439212764
43	0.438502835
44	0.4377414586
45	0.4369360539
46	0.4364237379
47	0.4360239839
48	0.4352335645
49	0.4344425601
50	0.4337939488
51	0.4332962548
52	0.4308699052
53	0.4303073004
54	0.4298951368
55	0.4292686274
56	0.4275706698
57	0.4272587791
58	0.4268979024559	0.4264656051660	0.4261793306661	0.4258004284662	0.4253659531663	0.4249274967664	0.4238113327665	0.4235317559666	0.4230659703
67	0.4227206075
68	0.4223719063669	0.4219298931770	0.4216853927171	0.4214098367272	0.4212285357373	0.4208291474	74	0.4206486975	75	0.4203521176	76	0.4199668131
77	0.4196721932
78	0.4193725525
79	0.419174969
80	0.4189282657
81	0.418670118
82	0.418393555
83	0.4181759178
84	0.4179918834
85	0.4177258392
86	0.4175498987
87	0.4172123242
88	0.4169694284
89	0.4164850697
90	0.4162761718
91	0.4160541635
92	0.4158147818
93	0.4155973855
94	0.4154048168
95	0.4152590763
96	0.4146797064
97	0.4144687828
98	0.4142280944
99	0.4140311178
100	0.4138531032
101	0.4135333152
102	0.4133446101
103	0.4131750451
104	0.412953488
105	0.4128036493
106	0.4126141645
107	0.41247875
108	0.4122537708
109	0.4120371639
110	0.4118806974
111	0.4117094778
112	0.4115362432
113	0.4113547618
114	0.4112244191
115	0.4109654802
116	0.4107670681
117	0.4105654766
118	0.4104597962
119	0.4093774083
120	0.4092265535
121	0.4089839209
122	0.4088340296
123	0.4080854992
124	0.4080001496
125	0.4078279565
126	0.407673662
127	0.4075304377
128	0.4073617181
129	0.4072357253
130	0.4071148406
131	0.4069687365
132	0.4067856363
133	0.4065086039
134	0.4062579904
135	0.4061440214
136	0.4059563163
137	0.4057843594
138	0.4055958093
139	0.4054527488
140	0.4052778579
141	0.4051453442
142	0.4050120098
143	0.4048168137
144	0.404700676
145	0.4045759917
146	0.4045026025
147	0.4043557729
148	0.4042402907
149	0.4040989143
150	0.4039624386
151	0.4038314915
152	0.4036782211
153	0.4035538801
154	0.4034527939
155	0.4033005162
156	0.4032377068
157	0.4031029852
158	0.4029641162
159	0.4028337081
160	0.4027578111
161	0.4026269878
162	0.4024707559
163	0.4023971676
164	0.4021559872
165	0.4020413628
166	0.401658379
167	0.4015482927
168	0.4014208498
169	0.4012660969
170	0.4011772173
171	0.4010608059
172	0.400903181
173	0.4007776172
174	0.4006967066
175	0.400583249
176	0.4005089687
177	0.400345813
178	0.4003024274
179	0.400201447
180	0.4000790675
181	0.3999178753
182	0.3996192831
183	0.3995290696
184	0.3993978578
185	0.3993130135
186	0.3992178848
187	0.3990637518
188	0.3989646971
189	0.3987747848
190	0.398458625
191	0.3983729744
192	0.3982112718
193	0.3981130136
194	0.3979850165
195	0.3979335265
196	0.3978367524
197	0.3977170536
198	0.3976333829
199	0.3972959596
200	0.3971869327
201	0.3970701465
202	0.3969857257
203	0.3968757188
204	0.3967635741
205	0.3964875345
206	0.3964133444
207	0.3961094105
208	0.3960011897
209	0.3959079116
210	0.3958041374
211	0.395687858
212	0.395589795
213	0.3954735349
214	0.3953450129
215	0.3952292133
216	0.3951443515
217	0.3950222378
218	0.3949194104
219	0.394819272
220	0.3944788629
221	0.3943721504
222	0.3942547155
223	0.394126037
224	0.3940329173
225	0.3939490144
226	0.3938460564
227	0.3930755915
228	0.3929923604
229	0.3929038562
230	0.392771101
231	0.3926945274
232	0.3925944171
233	0.3924884296
234	0.3923626525
235	0.3922613387
236	0.3921808483
237	0.3920403639
238	0.3919819621
239	0.3919113926
240	0.3918020672
241	0.3916928567
242	0.3915695055
243	0.3914778776
244	0.3913994896
245	0.3912960325
246	0.3911766827
247	0.391099967
248	0.3910144189
249	0.3909382139
250	0.3908488945
251	0.3907811808
252	0.3906983139
253	0.3906049592
254	0.3905142453
255	0.3904030742
256	0.3902993397
257	0.390173972
258	0.3901003424
259	0.3898543154
260	0.3897748591
261	0.3896891737
262	0.3895973656
263	0.3894657102
264	0.3893465436
265	0.3892639773
266	0.3891627778
267	0.3890865048
268	0.3887900101
269	0.388705979
270	0.3886208103
271	0.388535541
272	0.3882706276
273	0.388124848
274	0.3880422367
275	0.3879643408
276	0.3878669716
277	0.3877960506
278	0.3876587563
279	0.3868258259
280	0.3866965531
281	0.386226042
282	0.3860193718
283	0.3857684368
284	0.3853242008
285	0.3852425753
286	0.3851550024
287	0.3850651031
288	0.3849896415
289	0.384935079
290	0.3848347774
291	0.3847459437
292	0.384509269
293	0.3844363753
294	0.3843517323
295	0.3842342599
296	0.3841419032
297	0.3840490197
298	0.3839657633
299	0.3838938356

028
